simFrame,simTime,wheelId_1,flags_1,wheelX_1,wheelY_1,wheelId_2,flags_2,wheelX_2,wheelY_2,wheelId_3,flags_3,wheelX_3,wheelY_3,wheelId_4,flags_4,wheelX_4,wheelY_4,id,lateralDist,yawRel,type,id.1,lateralDist.1,yawRel.1,type.1,id.2,lateralDist.2,yawRel.2,type.2,id.3,lateralDist.3,yawRel.3,type.3,id.4,lateralDist.4,yawRel.4,type.4,id.5,lateralDist.5,yawRel.5,type.5,id.6,lateralDist.6,yawRel.6,type.6,id.7,lateralDist.7,yawRel.7,type.7,id.8,lateralDist.8,yawRel.8,type.8,id.9,lateralDist.9,yawRel.9,type.9,id.10,lateralDist.10,yawRel.10,type.10,id.11,lateralDist.11,yawRel.11,type.11,id.12,lateralDist.12,yawRel.12,type.12,id.13,lateralDist.13,yawRel.13,type.13,objectId_0,X_0,Y_0,yaw_angle_0,Vx_0,Vy_0,Ax_0,Ay_0,objectId_1,X_1,Y_1,yaw_angle_1,Vx_1,Vy_1,Ax_1,Ay_1,objectId_2,X_2,Y_2,yaw_angle_2,Vx_2,Vy_2,Ax_2,Ay_2,playerId,lightMask,playerId.1,lightMask.1,playerId.2,lightMask.2,playerId.3,lightMask.3,playerId.4,lightMask.4,playerId.5,lightMask.5
1071,17.8333342634,1.0,                    0x1,139.9224865077,-8.697352851,2.0,                    0x1,139.7471970918,-10.166935652,3.0,                    0x1,137.9946203007,-9.9578911802,4.0,                    0x1,138.1699097166,-8.4883083792,0,1.719829917,0.0002328199,2,1,1.7200206518,0.0001494348,2,2,-1.6298663616,0.0002328199,1,3,-1.6378097534,-1.65144556376617e-05,1,4,5.7148299217,0.0002328199,1,5,5.7150206566,9.2812e-05,1,6,-4.7148661613,0.0002328199,1,7,-4.7146754265,-0.0006497542,1,8,9.7708425522,0.0002328199,2,9,9.7705850601,-0.0021158506,2,10,-8.2798662186,0.0002328199,1,11,-8.27967453,-0.0006154219,1,12,13.4308423996,0.0002328199,1,13,13.4309968948,-0.0021739665,1,2,156.9699306291,-11.4810388968,-0.1189912036,-4.0761470795,0.4848431349,-0.0040648511,0.0112228212,4.0,189.3546244488,-7.7187036103,3.008528471,-20.6054201126,2.617643714,-0.0107636792,-0.0388014,1.0,138.0822650087,-9.2230997797,-0.1187174618,9.5924186707,-1.1443502903,0.0040411446,-0.0114211086,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1072,17.850000931,1.0,                    0x1,140.0823700183,-8.7164612489,2.0,                    0x1,139.9070542038,-10.1860409012,3.0,                    0x1,138.1544811682,-9.9769649474,4.0,                    0x1,138.3297969827,-8.507385295,0,1.7198718786,0.0002343506,2,1,1.7200374603,0.0001120435,2,2,-1.6299328804,0.0002343506,1,3,-1.6379030943,-0.0001390616,1,4,5.7148718834,0.0002343506,1,5,5.7150373459,9.41156249609776e-05,1,6,-4.7149329185,0.0002343506,1,7,-4.7147669792,-0.0006116072,1,8,9.7705230713,0.0002343506,2,9,9.7702407837,-0.0021077106,2,10,-8.2799329758,0.0002343506,1,11,-8.2797660828,-0.0006249587,1,12,13.4305229187,0.0002343506,1,13,13.4306526184,-0.0021389523,1,2,157.0618684836,-11.4920307752,-0.1189921573,-4.0762171745,0.4850130677,-0.0041181767,0.0107094017,4.0,189.1710725309,-7.694162828,3.0086050034,-20.6056032181,2.6169726849,-0.0108432351,-0.0395330107,1.0,138.2421390754,-9.2421751212,-0.1187354252,9.5924882889,-1.1445257664,0.0040864889,-0.0109744454,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1073,17.8666675985,1.0,                    0x1,140.2422543015,-8.7355710681,2.0,                    0x1,140.0669131944,-10.2051477032,3.0,                    0x1,138.3143437573,-9.9960415861,4.0,                    0x1,138.4896848645,-8.526464951,0,1.7199138403,0.0002359943,2,1,1.7200568914,0.0002657617,2,2,-1.6299993992,0.0002359943,1,3,-1.6379936934,-6.65823536110111e-05,1,4,5.7149138451,0.0002359943,1,5,5.7150568962,0.0001524111,1,6,-4.7149991989,0.0002359943,1,7,-4.7148556709,-0.0005753676,1,8,9.7702026367,0.0002359943,2,9,9.7698984146,-0.0020998102,2,10,-8.279999733,0.0002359943,1,11,-8.2798547745,-0.0005968253,1,12,13.4302024841,0.0002359943,1,13,13.4303102493,-0.0021285152,1,2,157.1538063238,-11.503022772,-0.118993111,-4.0762877464,0.4851742983,-0.0041720216,0.0101902508,4.0,188.9875187165,-7.6696362338,3.0086817741,-20.6057863235,2.6162896156,-0.0109215807,-0.0402564369,1.0,138.4020143109,-9.2612532686,-0.118752636,9.5925579071,-1.1446940899,0.0041306885,-0.0105359666,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1074,17.883334266,1.0,                    0x1,140.4021393713,-8.7546821918,2.0,                    0x1,140.2267740774,-10.2242559412,3.0,                    0x1,138.4742080821,-10.0151209797,4.0,                    0x1,138.6495733761,-8.5455472304,0,1.7199559212,0.0002377508,2,1,1.720078826,0.0002326926,2,2,-1.630065918,0.0002377508,1,3,-1.6380819082,1.80470226496254e-06,1,4,5.7149558067,0.0002377508,1,5,5.7150788307,0.0001539635,1,6,-4.7150659561,0.0002377508,1,7,-4.7149424553,-0.0006096999,1,8,9.7698831558,0.0002377508,2,9,9.7695579529,-0.0020921496,2,10,-8.2800655365,0.0002377508,1,11,-8.2799415588,-0.0005701224,1,12,13.4298830032,0.0002377508,1,13,13.4299707413,-0.0021184573,1,2,157.2457441533,-11.5140148595,-0.1189940646,-4.0763587952,0.4853301644,-0.0042138417,0.0097701642,4.0,188.8039629963,-7.6451239068,3.0087592602,-20.6059713364,2.6155949831,-0.0109986472,-0.0409712419,1.0,138.5618907291,-9.2803341051,-0.1187690943,9.592628479,-1.1448553801,0.0041736756,-0.0101061165,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1075,17.9000009336,1.0,                    0x1,140.5620252373,-8.773794545,2.0,                    0x1,140.3866368296,-10.2433655363,3.0,                    0x1,138.6340741239,-10.0342030102,4.0,                    0x1,138.8094625316,-8.5646320189,0,1.7199982405,0.0002396426,2,1,1.7201032639,0.0002018082,2,2,-1.6301321983,0.0002396426,1,3,-1.6381676197,6.64815088384785e-05,1,4,5.7149982452,0.0002396426,1,5,5.7151031494,0.0001556628,1,6,-4.7151322365,0.0002396426,1,7,-4.7150263786,-0.0005767981,1,8,9.7695636749,0.0002396426,2,9,9.7692203522,-0.0020514382,2,10,-8.2801322937,0.0002396426,1,11,-8.2800254822,-0.00054485,1,12,13.4295635223,0.0002396426,1,13,13.4296331406,-0.0021087565,1,2,157.3376819637,-11.5250071062,-0.1189954951,-4.0764307976,0.4854750037,-0.0042701104,0.0092304076,4.0,188.6204053608,-7.6206259261,3.0088369846,-20.6061563492,2.6148885489,-0.011074739,-0.0416772822,1.0,138.7217683277,-9.2994175146,-0.1187848225,9.5926990509,-1.1450097561,0.004215755,-0.0096850349,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1076,17.9166676011,1.0,                    0x1,140.7219119205,-8.7929080438,2.0,                    0x1,140.5465014504,-10.2624764021,3.0,                    0x1,138.793941885,-10.0532875649,4.0,                    0x1,138.9693523552,-8.5837192067,0,1.7200405598,0.0002416845,2,1,1.7201299667,0.0001731233,2,2,-1.6301984787,0.0002416845,1,3,-1.6382510662,-7.08738880348392e-05,1,4,5.7150406837,0.0002416845,1,5,5.7151298523,0.0001575238,1,6,-4.7151985168,0.0002416845,1,7,-4.7151083946,-0.0005458037,1,8,9.7692432404,0.0002416845,2,9,9.7688856125,-0.0020441958,2,10,-8.2801980972,0.0002416845,1,11,-8.2801074982,-0.0005601088,1,12,13.4292440414,0.0002416845,1,13,13.4292984009,-0.0020751965,1,2,157.4296197503,-11.5359995521,-0.1189974025,-4.0765037537,0.4856107235,-0.0043267598,0.0086878607,4.0,188.4368458006,-7.5961423711,3.0089151859,-20.6063432693,2.6141706705,-0.0111496402,-0.0423735362,1.0,138.8816471201,-9.3185033858,-0.1187998354,9.5927705765,-1.1451574564,0.0042567104,-0.0092737433,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1077,17.9333342686,1.0,                    0x1,140.8817994459,-8.8120226208,2.0,                    0x1,140.7063679315,-10.2815884673,3.0,                    0x1,138.9538113619,-10.0723745335,4.0,                    0x1,139.1292428763,-8.602808687,0,1.7200831175,0.0002438987,2,1,1.7201588154,0.0003355963,2,2,-1.6302646399,0.0002438987,1,3,-1.6383323669,-1.36534317789483e-05,1,4,5.7150831223,0.0002438987,1,5,5.7151589394,0.0002164352,1,6,-4.7152647972,0.0002438987,1,7,-4.7151880264,-0.0005167166,1,8,9.7689237595,0.0002438987,2,9,9.7685518265,-0.0020371333,2,10,-8.2802648544,0.0002438987,1,11,-8.2801876068,-0.0005372206,1,12,13.4289245605,0.0002438987,1,13,13.4289646149,-0.0020661566,1,2,157.5215575079,-11.54699224,-0.1189993098,-4.0765776634,0.4857375026,-0.004383872,0.0081438375,4.0,188.2532843064,-7.5716733207,3.0089936256,-20.6065320969,2.6134417057,-0.0112235784,-0.0430599162,1.0,139.0415271191,-9.3375916102,-0.1188141555,9.5928430557,-1.1452987194,0.0042967703,-0.0088723293,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1078,17.9500009362,1.0,                    0x1,141.0416878338,-8.8311381979,2.0,                    0x1,140.8662362716,-10.3007016511,3.0,                    0x1,139.1136825563,-10.091463809,4.0,                    0x1,139.2891341185,-8.6219003557,0,1.7201257944,0.0002463,2,1,1.7201898098,0.0003113667,2,2,-1.6303305626,0.0002463,1,3,-1.6384115219,3.9556351111969e-05,1,4,5.7151260376,0.0002463,1,5,5.7151899338,0.0002186791,1,6,-4.7153306007,0.0002463,1,7,-4.7152657509,-0.0005582015,1,8,9.7686042786,0.0002463,2,9,9.7682209015,-0.0020302357,2,10,-8.280330658,0.0002463,1,11,-8.2802648544,-0.0005157629,1,12,13.4286050797,0.0002463,1,13,13.4286336899,-0.0020574215,1,2,157.6134952312,-11.5579852151,-0.1190021709,-4.0766534805,0.4858550429,-0.0044410783,0.0075998107,4.0,188.0697208624,-7.5472189012,3.0090727806,-20.6067228317,2.6126986742,-0.0113075832,-0.0438206345,1.0,139.2014083374,-9.3566820823,-0.1188277975,9.5929164886,-1.1454335451,0.0043357024,-0.0084811226,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1079,17.9666676037,1.0,                    0x1,141.2015771044,-8.8502546996,2.0,                    0x1,141.0261064689,-10.3198158758,3.0,                    0x1,139.2735554694,-10.1105552874,4.0,                    0x1,139.4490261049,-8.6409941112,0,1.720168829,0.0002489034,2,1,1.7202228308,0.0002893886,2,2,-1.6303962469,0.0002489034,1,3,-1.6384887695,8.924e-05,1,4,5.7151689529,0.0002489034,1,5,5.7152228355,0.0002211368,1,6,-4.7153964043,0.0002489034,1,7,-4.715341568,-0.0005324522,1,8,9.7682857513,0.0002489034,2,9,9.7678918839,-0.0020234883,2,10,-8.2803964615,0.0002489034,1,11,-8.2803401947,-0.000495259,1,12,13.4282855988,0.0002489034,1,13,13.4283046722,-0.002048976,1,2,157.7054329145,-11.568978525,-0.1190055087,-4.0767302513,0.485963583,-0.004498119,0.0070568367,4.0,187.8861554631,-7.5227791634,3.0091524124,-20.6069145203,2.6119463444,-0.0113778324,-0.0444779731,1.0,139.3612907872,-9.3757746993,-0.1188407764,9.5929908752,-1.1455621719,0.0043733739,-0.0081001148,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
1080,17.9833342712,1.0,                    0x1,141.3614672814,-8.8693720674,2.0,                    0x1,141.1859785142,-10.3389310787,3.0,                    0x1,139.4334300968,-10.129648867,4.0,                    0x1,139.6089188639,-8.6600898558,0,1.7202121019,0.0002517312,2,1,1.7202576399,0.0002696842,2,2,-1.6304616928,0.0002517312,1,3,-1.6385641098,0.0001352209,1,4,5.7152123451,0.0002517312,1,5,5.7152576447,0.0002238308,1,6,-4.715461731,0.0002517312,1,7,-4.7154154778,-0.0005086104,1,8,9.7679662704,0.0002517312,2,9,9.7675638199,-0.0019835953,2,10,-8.2804613113,0.0002517312,1,11,-8.2804145813,-0.0004766623,1,12,13.4279661179,0.0002517312,1,13,13.4279766083,-0.0020407981,1,2,157.7973705518,-11.5799722193,-0.1190088466,-4.0768074989,0.4860633612,-0.0045547217,0.0065161958,4.0,187.7025880995,-7.4983541836,3.0092322826,-20.6071062088,2.6111836433,-0.0114465058,-0.0451241164,1.0,139.5211744803,-9.3948693614,-0.1188531145,9.5930652618,-1.1456849575,0.0044096308,-0.0077295946,2,                  0x400,3,                  0x400,4.0,                  0x400,1.0,0,,,,
