simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
12,+1.0999999754130840e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,+1.1999999731779099e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,+1.2999999709427357e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,+1.3999999687075615e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,+1.4999999664723873e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,+1.5999999642372131e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,+1.6999999620020390e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,+1.7999999597668648e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,+1.8999999575316906e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,+1.9999999552965164e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
22,+2.0999999530613422e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
23,+2.1999999508261681e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
