simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
3744,+3.7429999163374305e+01,0,+1.9719452857971191e+00,                      2,                      1,1.0,+4.4549415588378906e+01,                      2,                      1,2.0,-1.4030547142028809e+00,                      1,                      1,3.0,-45.359519958496094,2.0,1.0,4.0,5.041668891906737,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.98751449584961,1.0,1.0,7.0,-47.74923706054688,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3745,+3.7439999163150787e+01,0,+1.9720109701156616e+00,                      2,                      1,1.0,+4.4214839935302734e+01,                      2,                      1,2.0,-1.4029890298843384e+00,                      1,                      1,3.0,-45.30914306640625,2.0,1.0,4.0,5.041613578796387,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.93851852416992,1.0,1.0,7.0,-47.69173431396485,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3746,+3.7449999162927270e+01,0,+1.9720768928527832e+00,                      2,                      1,1.0,+4.3879974365234375e+01,                      2,                      1,2.0,-1.4029231071472168e+00,                      1,                      1,3.0,-45.258670806884766,2.0,1.0,4.0,5.041559219360352,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.88942337036133,1.0,1.0,7.0,-47.6341667175293,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3747,+3.7459999162703753e+01,0,+1.9721425771713257e+00,                      2,                      1,1.0,+4.3544807434082031e+01,                      2,                      1,2.0,-1.4028574228286743e+00,                      1,                      1,3.0,-45.20810317993164,2.0,1.0,4.0,5.041504383087158,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.84023666381836,1.0,1.0,7.0,-47.57653045654297,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3748,+3.7469999162480235e+01,0,+1.9722074270248413e+00,                      2,                      1,1.0,+4.3209327697753906e+01,                      2,                      1,2.0,-1.4027925729751587e+00,                      1,                      1,3.0,-45.15743255615234,2.0,1.0,4.0,5.0414490699768075,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.79095458984375,1.0,1.0,7.0,-47.51883316040039,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3749,+3.7479999162256718e+01,0,+1.9722720384597778e+00,                      2,                      1,1.0,+4.2873531341552734e+01,                      2,                      1,2.0,-1.4027279615402222e+00,                      1,                      1,3.0,-45.10667037963867,2.0,1.0,4.0,5.041393280029297,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.74157333374024,1.0,1.0,7.0,-47.4610710144043,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3750,+3.7489999162033200e+01,0,+1.9723367691040039e+00,                      2,                      1,1.0,+4.2537403106689453e+01,                      2,                      1,2.0,-1.4026632308959961e+00,                      1,                      1,3.0,-45.055809020996094,2.0,1.0,4.0,5.041337966918944,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.69210052490234,1.0,1.0,7.0,-47.40324020385742,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3751,+3.7499999161809683e+01,0,+1.9724012613296509e+00,                      2,                      1,1.0,+4.2200942993164062e+01,                      2,                      1,2.0,-1.4025987386703491e+00,                      1,                      1,3.0,-45.00484848022461,2.0,1.0,4.0,5.041282176971436,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.642532348632805,1.0,1.0,7.0,-47.34534454345703,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3752,+3.7509999161586165e+01,0,+1.9724651575088501e+00,                      2,                      1,1.0,+4.1864139556884766e+01,                      2,                      1,2.0,-1.4025348424911499e+00,                      1,                      1,3.0,-44.95379638671875,2.0,1.0,4.0,5.041225910186768,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.592872619628906,1.0,1.0,7.0,-47.28738784790039,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3753,+3.7519999161362648e+01,0,+1.9725289344787598e+00,                      2,                      1,1.0,+4.1526988983154297e+01,                      2,                      1,2.0,-1.4024710655212402e+00,                      1,                      1,3.0,-44.902645111083984,2.0,1.0,4.0,5.0411696434021,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.54311752319336,1.0,1.0,7.0,-47.22936630249024,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
