simFrame,playerId_0,laneId_0,roadS_0,roadT_0,hdgRel_0,playerId_1,laneId_1,roadS_1,roadT_1,hdgRel_1,playerId_2,laneId_2,roadS_2,roadT_2,hdgRel_2,playerId_3,laneId_3,roadS_3,roadT_3,hdgRel_3,playerId_4,laneId_4,roadS_4,roadT_4,hdgRel_4,playerId_5,laneId_5,roadS_5,roadT_5,hdgRel_5,playerId_6,laneId_6,roadS_6,roadT_6,hdgRel_6,playerId_7,laneId_7,roadS_7,roadT_7,hdgRel_7,playerId_8,laneId_8,roadS_8,roadT_8,hdgRel_8,playerId_9,laneId_9,roadS_9,roadT_9,hdgRel_9
2,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000000000000000e+02,-5.2285156250000000e+00,-2.0507804583758116e-03,3.0,                     -4,+1.5000000000000000e+02,-8.1126403808593750e+00,-1.5930173685774207e-03,4.0,                     -1,+1.8000000000000000e+02,-1.7269287109375000e+00,-1.4282219344750047e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000015258789062e+02,-5.2285156250000000e+00,-2.0507939625531435e-03,3.0,                     -4,+1.5000030517578125e+02,-8.1126403808593750e+00,-1.5930433291941881e-03,4.0,                     -1,+1.8000015258789062e+02,-1.7269285917282104e+00,-1.4282272895798087e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000039672851562e+02,-5.2285151481628418e+00,-2.0508144516497850e-03,3.0,                     -4,+1.5000079345703125e+02,-8.1126394271850586e+00,-1.5930836088955402e-03,4.0,                     -1,+1.8000039672851562e+02,-1.7269284725189209e+00,-1.4282354386523366e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000074768066406e+02,-5.2285146713256836e+00,-2.0508423913270235e-03,3.0,                     -4,+1.5000149536132812e+02,-8.1126394271850586e+00,-1.5931379748508334e-03,4.0,                     -1,+1.8000074768066406e+02,-1.7269282341003418e+00,-1.4282462652772665e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000120544433594e+02,-5.2285141944885254e+00,-2.0508775487542152e-03,3.0,                     -4,+1.5000239562988281e+02,-8.1126384735107422e+00,-1.5932066598907113e-03,4.0,                     -1,+1.8000120544433594e+02,-1.7269278764724731e+00,-1.4282601187005639e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000175476074219e+02,-5.2285137176513672e+00,-2.0509199239313602e-03,3.0,                     -4,+1.5000349426269531e+02,-8.1126375198364258e+00,-1.5932896640151739e-03,4.0,                     -1,+1.8000175476074219e+02,-1.7269275188446045e+00,-1.4282766496762633e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000239562988281e+02,-5.2285132408142090e+00,-2.0509695168584585e-03,3.0,                     -4,+1.5000480651855469e+02,-8.1126365661621094e+00,-1.5933865215629339e-03,4.0,                     -1,+1.8000239562988281e+02,-1.7269270420074463e+00,-1.4282963238656521e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000314331054688e+02,-5.2285122871398926e+00,-2.0510263275355101e-03,3.0,                     -4,+1.5000630187988281e+02,-8.1126356124877930e+00,-1.5934976981952786e-03,4.0,                     -1,+1.8000314331054688e+02,-1.7269264459609985e+00,-1.4283185591921210e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000399780273438e+02,-5.2285113334655762e+00,-2.0510901231318712e-03,3.0,                     -4,+1.5000799560546875e+02,-8.1126337051391602e+00,-1.5936228446662426e-03,4.0,                     -1,+1.8000399780273438e+02,-1.7269258499145508e+00,-1.4283435884863138e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000494384765625e+02,-5.2285103797912598e+00,-2.0511613693088293e-03,3.0,                     -4,+1.5000990295410156e+02,-8.1126327514648438e+00,-1.5937621938064694e-03,4.0,                     -1,+1.8000494384765625e+02,-1.7269251346588135e+00,-1.4283715281635523e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
12,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000599670410156e+02,-5.2285094261169434e+00,-2.0512398332357407e-03,3.0,                     -4,+1.5001199340820312e+02,-8.1126308441162109e+00,-1.5939152799546719e-03,4.0,                     -1,+1.8000599670410156e+02,-1.7269244194030762e+00,-1.4284023782238364e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+1.6000715637207031e+02,-5.2285084724426270e+00,-2.0513252820819616e-03,3.0,                     -4,+1.5001429748535156e+02,-8.1126289367675781e+00,-1.5940824523568153e-03,4.0,                     -1,+1.8000715637207031e+02,-1.7269235849380493e+00,-1.4284361386671662e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
