                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+9.9999997764825821e-03,                      2,                      2,                  0x400,-1.8385966541245580e-04,+0.0000000000000000e+00,                      3,                  0x400,-7.5790385017171502e-04,+0.0000000000000000e+00,                      4,                  0x400,-9.0722016466315836e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      2,                  0x400,-5.4053473286330700e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7058084271848202e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5589618599042296e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      2,                  0x400,-5.4046080913394690e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7055704742670059e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5586102856323123e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      2,                  0x400,-5.4035586072131991e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7052251864224672e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5581123190931976e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      2,                  0x400,-5.4021982941776514e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7047732621431351e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5574679602868855e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      2,                  0x400,-5.4005277343094349e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7042142357677221e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5566777912899852e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      2,                  0x400,-5.3985475096851587e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7035485729575157e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5557418121024966e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      2,                  0x400,-5.3962576203048229e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7027758080512285e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5546597316861153e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      2,                  0x400,-5.3936592303216457e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7018966395407915e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5534324231557548e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      2,                  0x400,-5.3907517576590180e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.7009106017649174e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5520595954731107e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      2,                  0x400,-5.3875363664701581e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6998181603848934e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5505418307147920e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      2,                  0x400,-5.3840142209082842e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6986193154007196e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5488797109574080e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      2,                  0x400,-5.3801853209733963e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6973140668123960e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5470729451626539e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      2,                  0x400,-5.3760508308187127e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6959026474505663e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5451224064454436e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      2,                  0x400,-5.3716113325208426e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6943850573152304e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5430286768823862e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      2,                  0x400,-5.3668685723096132e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6927617620676756e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5407914654351771e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      2,                  0x400,-5.3618225501850247e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6910325288772583e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5384122272953391e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.7999999597668648e-01,                     19,                      2,                  0x400,-5.3564750123769045e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6891978234052658e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5358906714245677e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.8999999575316906e-01,                     20,                      2,                  0x400,-5.3508271230384707e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6872578784823418e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5332276709377766e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-01,                     21,                      2,                  0x400,-5.3448794642463326e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6852124612778425e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5304240989498794e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
