                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+9.9999997764825821e-03,                      2,                      2,                  0x400,-1.1622647289044608e-16,+0.0000000000000000e+00,                      3,                  0x400,+1.6132928326584306e-16,+0.0000000000000000e+00,                      4,                  0x400,+4.1633363423443370e-17,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      2,                  0x400,-3.7730235602495554e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.7296554733501353e-16,+0.0000000000000000e+00,                      4,                  0x400,+6.6786853825107073e-17,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      2,                  0x400,+2.1684043449710089e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.2985086056692694e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.0816681711721685e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      2,                  0x400,-3.3306690738754696e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1857515797307769e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.0393716977126246e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      2,                  0x400,-1.8214596497756474e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1857515797307769e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.2562121322097255e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      2,                  0x400,-2.2204460492503131e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1857515797307769e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.0393716977126246e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      2,                  0x400,-3.4867941867133823e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.2985086056692694e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.0057488416329647e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      2,                  0x400,-6.5919492087118670e-17,+0.0000000000000000e+00,                      3,                  0x400,-8.1098322501915732e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.0393716977126246e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      2,                  0x400,-4.3801767768414379e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1770779623508929e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.2985086056692694e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      2,                  0x400,-4.3281350725621337e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1770779623508929e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.2985086056692694e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      2,                  0x400,-5.1521287236511171e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.2898349882893854e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.2985086056692694e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      2,                  0x400,-1.4484941024406339e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1770779623508929e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.2562121322097255e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      2,                  0x400,-5.1521287236511171e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1770779623508929e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.0816681711721685e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      2,                  0x400,-4.2240516640035253e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1770779623508929e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.0816681711721685e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      2,                  0x400,-4.8051840284557557e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.2811613709095013e-16,+0.0000000000000000e+00,                      4,                  0x400,-2.0816681711721685e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      2,                  0x400,-4.4235448637408581e-17,+0.0000000000000000e+00,                      3,                  0x400,-8.0838113980519211e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.2562121322097255e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      2,                  0x400,-3.4867941867133823e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1423834928313568e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.2139156587501816e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.7999999597668648e-01,                     19,                      2,                  0x400,-2.3245294578089215e-16,+0.0000000000000000e+00,                      3,                  0x400,-8.0577905459122690e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.2052420413702976e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.8999999575316906e-01,                     20,                      2,                  0x400,-1.8214596497756474e-16,+0.0000000000000000e+00,                      3,                  0x400,-8.1445267197111093e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.1965684239904135e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-01,                     21,                      2,                  0x400,-3.1138286393783687e-16,+0.0000000000000000e+00,                      3,                  0x400,-8.0144224590128488e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.1878948066105295e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.0999999530613422e-01,                     22,                      2,                  0x400,+2.1684043449710089e-17,+0.0000000000000000e+00,                      3,                  0x400,-7.9884016068731967e-16,+0.0000000000000000e+00,                      4,                  0x400,-5.2215176626901894e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.1999999508261681e-01,                     23,                      2,                  0x400,-3.6689401516909470e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0383000842727483e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.1792211892306455e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.2999999485909939e-01,                     24,                      2,                  0x400,-2.9316826744008040e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.9537071373536605e-16,+0.0000000000000000e+00,                      4,                  0x400,-8.1705475718507614e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.3999999463558197e-01,                     25,                      2,                  0x400,-3.4520997171938461e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1163626406917047e-16,+0.0000000000000000e+00,                      4,                  0x400,-7.9537071373536605e-16,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
