"                simTime","               simFrame","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS"
1.10E-01,12,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,3.00E-14,4.47E-11,1.66E-03,-1.53E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.04E-03,-3.66E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,3.00E-14,4.47E-11,1.66E-03,-1.53E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.04E-03,-3.66E-16,0,2.61E+00
1.20E-01,13,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.07E-14,4.47E-11,1.66E-03,-2.84E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.06E-03,-5.00E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.07E-14,4.47E-11,1.66E-03,-2.84E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.59E-11,4.47E-11,1.06E-03,-5.00E-16,0,2.61E+00
1.30E-01,14,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.71E-14,4.47E-11,1.66E-03,-1.34E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.07E-03,-6.57E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.71E-14,4.47E-11,1.66E-03,-1.34E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.07E-03,-6.57E-16,0,2.61E+00
1.40E-01,15,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,4.49E-14,4.47E-11,1.66E-03,-3.88E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.08E-03,-8.37E-16,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,4.49E-14,4.47E-11,1.66E-03,-3.88E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.08E-03,-8.37E-16,0,2.61E+00
1.50E-01,16,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.16E-13,4.47E-11,1.66E-03,-7.16E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.08E-03,-1.04E-15,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.16E-13,4.47E-11,1.66E-03,-7.16E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.08E-03,-1.04E-15,0,2.61E+00
1.60E-01,17,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,3.11E-15,4.47E-11,1.66E-03,-3.38E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.09E-03,-1.27E-15,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,3.11E-15,4.47E-11,1.66E-03,-3.38E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.58E-11,4.47E-11,1.09E-03,-1.27E-15,0,2.61E+00
1.70E-01,18,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-3.13E-14,4.47E-11,1.66E-03,-7.19E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-1.52E-15,0,2.61E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-3.13E-14,4.47E-11,1.66E-03,-7.19E-21,0,5.00E+01,1,1,-1,"                    0x1",2.61E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-1.52E-15,0,2.61E+00
1.80E-01,19,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-5.64E-14,4.47E-11,1.66E-03,-8.55E-22,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-1.79E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-5.64E-14,4.47E-11,1.66E-03,-8.55E-22,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-1.79E-15,0,2.62E+00
1.90E-01,20,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.13E-14,4.47E-11,1.66E-03,-4.93E-21,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-2.08E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.13E-14,4.47E-11,1.66E-03,-4.93E-21,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.57E-11,4.47E-11,1.09E-03,-2.08E-15,0,2.62E+00
2.00E-01,21,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.16E-13,4.47E-11,1.66E-03,-1.09E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.56E-11,4.47E-11,1.09E-03,-2.40E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.16E-13,4.47E-11,1.66E-03,-1.09E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.56E-11,4.47E-11,1.09E-03,-2.40E-15,0,2.62E+00
