simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
1,1,                      0,0.0,2,                  0x400,0.0,3,                  0x400,0.0,4,                  0x400,0.0,5.0,                  0x400,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2,1,                      0,0.0,2,                  0x400,1.994931997373328e-17,3,                  0x400,8.239936510889834e-17,4,                  0x400,0.0,5.0,                  0x400,0.00037545571103692055,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,1,                      0,0.0,2,                  0x400,5.551115123125783e-17,3,                  0x400,2.8189256484623115e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010102236410602927,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,1,                      0,0.0,2,                  0x400,-2.4025920142278773e-16,3,                  0x400,2.8189256484623115e-16,4,                  0x400,0.0,5.0,                  0x400,0.001010085572488606,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,1,                      0,0.0,2,                  0x400,-3.877106968808164e-16,3,                  0x400,3.5214886562329184e-16,4,                  0x400,0.0,5.0,                  0x400,0.001009891158901155,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,1,                      0,0.0,2,                  0x400,5.551115123125783e-17,3,                  0x400,3.5214886562329184e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010096406331285834,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,1,                      0,0.0,2,                  0x400,-9.194034422677075e-17,3,                  0x400,3.5214886562329184e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010093337623402476,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,1,                      0,0.0,2,                  0x400,-9.194034422677075e-17,3,                  0x400,9.43689570931383e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010089707793667912,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,1,                      0,0.0,2,                  0x400,-9.194034422677075e-17,3,                  0x400,8.743006318923107e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010085516842082145,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,1,                      0,0.0,2,                  0x400,-9.194034422677075e-17,3,                  0x400,9.43689570931383e-16,4,                  0x400,0.0,5.0,                  0x400,0.0010080765932798388,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
