simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
1,1,                      0,0.0,2,                  0x400,0.0,3,                  0x400,0.0,4,                  0x400,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
2,1,                      0,0.0,2,                  0x400,-1.1622647289044608e-16,3,                  0x400,1.6132928326584306e-16,4,                  0x400,4.163336342344337e-17,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3,1,                      0,0.0,2,                  0x400,-3.773023560249555e-16,3,                  0x400,3.729655473350135e-16,4,                  0x400,6.678685382510706e-17,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
4,1,                      0,0.0,2,                  0x400,2.1684043449710086e-17,3,                  0x400,-2.298508605669269e-16,4,                  0x400,-2.0816681711721683e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
5,1,                      0,0.0,2,                  0x400,-3.3306690738754696e-16,3,                  0x400,-2.1857515797307767e-16,4,                  0x400,-5.039371697712625e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
6,1,                      0,0.0,2,                  0x400,-1.8214596497756474e-16,3,                  0x400,-2.1857515797307767e-16,4,                  0x400,-5.2562121322097255e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
7,1,                      0,0.0,2,                  0x400,-2.2204460492503126e-16,3,                  0x400,-2.1857515797307767e-16,4,                  0x400,-5.039371697712625e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
8,1,                      0,0.0,2,                  0x400,-3.4867941867133823e-16,3,                  0x400,-2.298508605669269e-16,4,                  0x400,-8.005748841632963e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
9,1,                      0,0.0,2,                  0x400,-6.591949208711867e-17,3,                  0x400,-8.109832250191572e-16,4,                  0x400,-5.039371697712625e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
10,1,                      0,0.0,2,                  0x400,-4.3801767768414374e-16,3,                  0x400,-2.1770779623508927e-16,4,                  0x400,-2.298508605669269e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
11,1,                      0,0.0,2,                  0x400,-4.328135072562133e-16,3,                  0x400,-2.1770779623508927e-16,4,                  0x400,-2.298508605669269e-16,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
