simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
1611,1,0,0.0,2,                  0x400,7.832106348359957e-05,3,                  0x400,0.00036785771953873336,4.0,                  0x400,0.0001645207230467349,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1612,1,0,0.0,2,                  0x400,7.685814489377663e-05,3,                  0x400,0.0003701962123159319,4.0,                  0x400,0.0001647753088036552,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1613,1,0,0.0,2,                  0x400,7.542113598901778e-05,3,                  0x400,0.0003725459973793477,4.0,                  0x400,0.00016502989456057549,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1614,1,0,0.0,2,                  0x400,7.400963659165427e-05,3,                  0x400,0.0003749070747289807,4.0,                  0x400,0.00016528449486941102,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1615,1,0,0.0,2,                  0x400,7.262323197210206e-05,3,                  0x400,0.00037727944436483085,4.0,                  0x400,0.00016553908062633127,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1616,1,0,0.0,2,                  0x400,7.126152922865002e-05,3,                  0x400,0.0003796631935983896,4.0,                  0x400,0.00016579366638325157,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1617,1,0,0.0,2,                  0x400,6.992412090767175e-05,3,                  0x400,0.00038205826422199607,4.0,                  0x400,0.00016604826669208703,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1618,1,0,0.0,2,                  0x400,6.861062138341367e-05,3,                  0x400,0.00038446471444331115,4.0,                  0x400,0.00016630285244900733,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1619,1,0,0.0,2,                  0x400,6.732063775416464e-05,3,                  0x400,0.00038688257336616516,4.0,                  0x400,0.00016655743820592758,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1620,1,0,0.0,2,                  0x400,6.605379894608632e-05,3,                  0x400,0.0003893118409905583,4.0,                  0x400,0.00016681203851476312,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1621,1,0,0.0,2,                  0x400,6.480971933342516e-05,3,                  0x400,0.00039175251731649036,4.0,                  0x400,0.0001670666242716834,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1622,1,0,0.0,2,                  0x400,6.358802784234284e-05,3,                  0x400,0.00039420466055162246,4.0,                  0x400,0.00016732121002860367,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1623,1,0,0.0,2,                  0x400,6.238835339900106e-05,3,                  0x400,0.00039666827069595456,4.0,                  0x400,0.00016757581033743918,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1624,1,0,0.0,2,                  0x400,6.121033948147668e-05,3,                  0x400,0.00039914337685331697,4.0,                  0x400,0.00016783039609435946,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
