                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+0.0000000000000000e+00,                      1,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-03,                      2,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-8.6736173798840355e-18,+0.0000000000000000e+00,                      3,                  0x400,+3.0715615139342844e-05,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-7.8062556418956319e-18,+0.0000000000000000e+00,                      3,                  0x400,+8.6638516222592443e-05,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.9255430583342559e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6626736447215080e-05,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+6.6786853825107073e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.6610081780236214e-05,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.2030988144905450e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6588559497613460e-05,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7780915628762273e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6562176875304431e-05,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.9490299091605721e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.6530941189266741e-05,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.2377932840100812e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6494845163542777e-05,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.9031278209478160e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.6453910626005381e-05,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.7347234759768071e-18,+0.0000000000000000e+00,                      3,                  0x400,+8.6408137576654553e-05,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.1275702593849246e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6357540567405522e-05,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.1423834928313568e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6302126874215901e-05,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.5525775109992423e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6241918324958533e-05,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.7347234759768071e-18,+0.0000000000000000e+00,                      3,                  0x400,+8.6176914919633418e-05,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.9031278209478160e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.6107131210155785e-05,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.6628005356243989e-16,+0.0000000000000000e+00,                      3,                  0x400,+8.6032596300356090e-05,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+7.1991024253037494e-17,+0.0000000000000000e+00,                      3,                  0x400,+8.5953317466191947e-05,+0.0000000000000000e+00,
