                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+0.0000000000000000e+00,                      1,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-03,                      2,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+5.9026006056228653e-05,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7078188830055296e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7075883806683123e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7072622722480446e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7068404122255743e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7063232371583581e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7057104560080916e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7050025053322315e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7041993851307780e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+9.9999997764825821e-02,                     11,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7033012409228832e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.0999999754130840e-01,                     12,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7023083637468517e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.1999999731779099e-01,                     13,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7012208991218358e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.2999999709427357e-01,                     14,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.7000391380861402e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6987632261589170e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6973935998976231e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6959304048214108e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6943740774877369e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.7999999597668648e-01,                     19,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6927249089349061e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.8999999575316906e-01,                     20,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6909833357203752e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+1.9999999552965164e-01,                     21,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6891496488824487e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.0999999530613422e-01,                     22,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6872244304977357e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.1999999508261681e-01,                     23,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6852078260853887e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.2999999485909939e-01,                     24,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6831007087603211e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.3999999463558197e-01,                     25,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6809032240416855e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.4999999441206455e-01,                     26,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6786159540060908e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.5999999418854713e-01,                     27,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6762393352109939e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.6999999396502972e-01,                     28,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6737742407713085e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.7999999374151230e-01,                     29,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6712208162061870e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.8999999351799488e-01,                     30,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6685799346305430e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+2.9999999329447746e-01,                     31,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6658520326018333e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.0999999307096004e-01,                     32,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6630378377158195e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.1999999284744263e-01,                     33,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6601379320491105e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.2999999262392521e-01,                     34,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6571530431974679e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.3999999240040779e-01,                     35,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6540837532375008e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.4999999217689037e-01,                     36,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6509307897649705e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.5999999195337296e-01,                     37,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6476948803756386e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.6999999172985554e-01,                     38,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6443767526652664e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.7999999150633812e-01,                     39,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6409772797487676e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.8999999128282070e-01,                     40,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6374970437027514e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+3.9999999105930328e-01,                     41,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6339370631612837e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.0999999083578587e-01,                     42,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6302979202009737e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.1999999061226845e-01,                     43,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6265804879367352e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.2999999038875103e-01,                     44,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6227857850026339e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.3999999016523361e-01,                     45,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6189145389944315e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.4999998994171619e-01,                     46,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6149674775078893e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.5999998971819878e-01,                     47,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6109457646962255e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.6999998949468136e-01,                     48,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6068501281552017e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.7999998927116394e-01,                     49,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6026815865188837e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.8999998904764652e-01,                     50,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5984411584213376e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+4.9999998882412910e-01,                     51,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5941294259391725e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.0999998860061169e-01,                     52,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5897478442639112e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.1999998837709427e-01,                     53,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5852969954721630e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.2999998815357685e-01,                     54,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5807780437171459e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.3999998793005943e-01,                     55,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5761921531520784e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.4999998770654202e-01,                     56,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5715400513727218e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.5999998748302460e-01,                     57,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5668229025322944e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.6999998725950718e-01,                     58,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5620417252648622e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.7999998703598976e-01,                     59,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5571976837236434e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.8999998681247234e-01,                     60,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5522916510235518e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+5.9999998658895493e-01,                     61,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5473249368369579e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+6.0999998636543751e-01,                     62,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5422985597979277e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
+6.1999998614192009e-01,                     63,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5372133930213749e-04,+0.0000000000000000e+00,                      3,                  0x400,-9.4542429440735987e-17,+0.0000000000000000e+00,
