                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+0.0000000000000000e+00,                      1,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      3,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,
+9.9999997764825821e-03,                      2,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+8.0664641632921530e-17,+0.0000000000000000e+00,                      3,                  0x400,-5.8989506214857101e-05,+0.0000000000000000e+00,                      4,                  0x400,-2.8232022305019200e-04,+0.0000000000000000e+00,
+1.9999999552965164e-02,                      3,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.4199392489876459e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6638933448120952e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5958686647936702e-04,+0.0000000000000000e+00,
+2.9999999329447746e-02,                      4,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+4.3281350725621337e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6636631335131824e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5948011362925172e-04,+0.0000000000000000e+00,
+3.9999999105930328e-02,                      5,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+5.4210108624275222e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6633367340546101e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5932900654152036e-04,+0.0000000000000000e+00,
+4.9999998882412910e-02,                      6,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+4.6403852982379590e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6629142919555306e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5913371983915567e-04,+0.0000000000000000e+00,
+5.9999998658895493e-02,                      7,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+6.1582683397176652e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6623956616967916e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5889413710683584e-04,+0.0000000000000000e+00,
+6.9999998435378075e-02,                      8,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+9.3675067702747583e-17,+0.0000000000000000e+00,                      3,                  0x400,-1.6617812798358500e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5861037475988269e-04,+0.0000000000000000e+00,
+7.9999998211860657e-02,                      9,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.9378222904673521e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6610710008535534e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5828249100595713e-04,+0.0000000000000000e+00,
+8.9999997988343239e-02,                     10,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+6.1149002528182450e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.6602651157882065e-04,+0.0000000000000000e+00,                      4,                  0x400,-7.5791060226038098e-04,+0.0000000000000000e+00,
