                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+9.9999997764825821e-03,                      2,                      2,                      1,                     -1,                    0x1,+5.0000000000000000e+01,-1.8750000000000000e+00,-7.3718808835110394e-14,+3.9719338928989600e-11,-0.0000000000000000e+00,-0.0000000000000000e+00,                      0,+5.0000000000000000e+01,                      1,                      1,                     -1,                    0x1,+2.6191341876983643e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9817599095404148e-03,+1.9151747619122342e-19,                      0,+2.6191341876983643e+00,
+1.9999999552965164e-02,                      3,                      2,                      1,                     -1,                    0x1,+5.0000148773193359e+01,-1.8750000000000000e+00,-7.8603790143461083e-14,+3.9719338928989600e-11,-0.0000000000000000e+00,-0.0000000000000000e+00,                      0,+5.0000148773193359e+01,                      1,                      1,                     -1,                    0x1,+2.6191337108612061e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9826483912765980e-03,+2.5633396604829205e-19,                      0,+2.6191337108612061e+00,
+2.9999999329447746e-02,                      4,                      2,                      1,                     -1,                    0x1,+5.0000400543212891e+01,-1.8750000000000000e+00,+7.9936057773011271e-15,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.1188277903585188e-22,                      0,+5.0000400543212891e+01,                      1,                      1,                     -1,                    0x1,+2.6191329956054688e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9838376902043819e-03,+3.7905233622694543e-19,                      0,+2.6191329956054688e+00,
+3.9999999105930328e-02,                      5,                      2,                      1,                     -1,                    0x1,+5.0000751495361328e+01,-1.8750000000000000e+00,-1.2123635428906709e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+8.2686932803982746e-24,                      0,+5.0000751495361328e+01,                      1,                      1,                     -1,                    0x1,+2.6191325187683105e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9852824043482542e-03,+4.1625266462619818e-19,                      0,+2.6191325187683105e+00,
+4.9999998882412910e-02,                      6,                      2,                      1,                     -1,                    0x1,+5.0001201629638672e+01,-1.8750000000000000e+00,-1.3455903058456897e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+3.1033040171256455e-23,                      0,+5.0001201629638672e+01,                      1,                      1,                     -1,                    0x1,+2.6191318035125732e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9869192037731409e-03,+4.3106173083152332e-19,                      0,+2.6191318035125732e+00,
+5.9999998658895493e-02,                      7,                      2,                      1,                     -1,                    0x1,+5.0001750946044922e+01,-1.8750000000000000e+00,-1.1035616864774056e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+1.1739434192135211e-22,                      0,+5.0001750946044922e+01,                      1,                      1,                     -1,                    0x1,+2.6191310882568359e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9886749796569347e-03,+2.8362335239005828e-19,                      0,+2.6191310882568359e+00,
+6.9999998435378075e-02,                      8,                      2,                      1,                     -1,                    0x1,+5.0002399444580078e+01,-1.8750000000000000e+00,-1.0036416142611415e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,-2.6092060378502582e-22,                      0,+5.0002399444580078e+01,                      1,                      1,                     -1,                    0x1,+2.6191303730010986e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,-1.9904768560081720e-03,+1.1274445899703625e-19,                      0,+2.6191303730010986e+00,
+7.9999998211860657e-02,                      9,                      2,                      1,                     -1,                    0x1,+5.0003150939941406e+01,-1.8750000000000000e+00,-1.5543122344752192e-15,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.0454128099346981e-21,                      0,+5.0003150939941406e+01,                      1,                      1,                     -1,                    0x1,+2.6191296577453613e+00,-2.0055880546569824e+00,-1.3058814406394958e-01,-2.8035880532115698e-03,-1.9922566134482622e-03,+1.3542557367865554e-20,                      0,+2.6191296577453613e+00,
+8.9999997988343239e-02,                     10,                      2,                      1,                     -1,                    0x1,+5.0004001617431641e+01,-1.8750000000000000e+00,-1.4210854715202004e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.5744905352000425e-21,                      0,+5.0004001617431641e+01,                      1,                      1,                     -1,                    0x1,+2.6191294193267822e+00,-2.0055880546569824e+00,-1.3058814406394958e-01,-2.8035880532115698e-03,-1.9939588382840157e-03,-1.4790339934856190e-20,                      0,+2.6191294193267822e+00,
+9.9999997764825821e-02,                     11,                      2,                      1,                     -1,                    0x1,+5.0004951477050781e+01,-1.8750000000000000e+00,+7.8603790143461083e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-1.6619631684161954e-21,                      0,+5.0004951477050781e+01,                      1,                      1,                     -1,                    0x1,+2.6191291809082031e+00,-2.0055880546569824e+00,-1.3058814406394958e-01,-2.8035880532115698e-03,-1.9955413881689310e-03,-1.7059875058400505e-19,                      0,+2.6191291809082031e+00,
